Square Feet,Price,Price/Sqft,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price Category
1140.0,475000,416.6666666666667,98001,Algona,WA,707 Celery Ave,3.0,3.0,https://www.redfin.com/WA/Algona/707-Celery-Ave-98001/home/365604,https://ssl.cdn-redfin.com/photo/1/islphoto/292/genIslnoResize.2292292_0.jpg,Low
1310.0,470000,358.77862595419845,98001,Algona,WA,512 Main St,4.0,4.0,https://www.redfin.com/WA/Algona/512-Main-St-98001/home/365469,https://ssl.cdn-redfin.com/photo/1/islphoto/215/genIslnoResize.2295215_0.jpg,Low
1680.0,500000,297.6190476190476,98001,Algona,WA,221 2nd Ave N,4.0,4.0,https://www.redfin.com/WA/Algona/221-2nd-Ave-N-98001/home/365584,https://ssl.cdn-redfin.com/photo/1/islphoto/161/genIslnoResize.2288161_0.jpg,Medium-low
1240.0,525000,423.38709677419354,98001,Algona,WA,1036 Algona Blvd N,4.0,4.0,https://www.redfin.com/WA/Algona/1036-Algona-Blvd-N-98001/home/365174,https://ssl.cdn-redfin.com/photo/1/islphoto/651/genIslnoResize.2271651_0.jpg,Medium-low
,660000,,98001,Algona,WA,515 4th Ave N,,,https://www.redfin.com/WA/Algona/515-4th-Ave-N-98001/home/2060937,https://ssl.cdn-redfin.com/photo/1/islphoto/209/genIslnoResize.2258209_0.jpg,Medium-low
,110000,,98001,Algona,WA,318 3rd Ave N,,,https://www.redfin.com/WA/Algona/318-3rd-Ave-N-98001/home/190358038,https://ssl.cdn-redfin.com/photo/1/islphoto/475/genIslnoResize.2225475_0.jpg,Low
972.0,369000,379.6296296296296,98092,Auburn,WA,6331 Isaac Ave SE Unit D16,2.0,2.0,https://www.redfin.com/WA/Auburn/6331-Isaac-Ave-SE-98092/unit-D16/home/3038344,https://ssl.cdn-redfin.com/photo/1/islphoto/866/genIslnoResize.2311866_1.jpg,Low
1260.0,299990,238.0873015873016,98092,Auburn,WA,31511 106th Pl SE Unit T207,3.0,3.0,https://www.redfin.com/WA/Auburn/31511-106th-Pl-SE-98092/unit-T207/home/190486262,https://ssl.cdn-redfin.com/photo/1/islphoto/947/genIslnoResize.2311947_0.jpg,Low
1950.0,520000,266.6666666666667,98002,Auburn,WA,1307 F St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/1307-F-St-SE-98002/home/213892,https://ssl.cdn-redfin.com/system_files/media/1016734_JPG/genDesktopMapHomeCardUrl/item_26.jpg,Medium-low
1848.0,119900,64.88095238095238,98002,Auburn,WA,3611 I St NE 160,3.0,3.0,https://www.redfin.com/WA/Auburn/3611-I-St-NE-98002/unit-160/home/193679855,https://ssl.cdn-redfin.com/photo/1/islphoto/752/genIslnoResize.2312752_0.jpg,Low
2580.0,745000,288.7596899224806,98001,Auburn,WA,37217 35th Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/37217-35th-Ave-S-98001/home/363347,https://ssl.cdn-redfin.com/photo/1/islphoto/788/genIslnoResize.2311788_0.jpg,Medium-low
1770.0,525950,297.14689265536725,98092,Auburn,WA,5909 Panorama Dr SE 16101,3.0,3.0,https://www.redfin.com/WA/Auburn/5909-Panorama-Dr-SE-98092/unit-16-101/home/23095081,https://ssl.cdn-redfin.com/photo/1/islphoto/743/genIslnoResize.2312743_0.jpg,Medium-low
1500.0,689000,459.3333333333333,98001,Auburn,WA,3803 S 284th Pl,3.0,3.0,https://www.redfin.com/WA/Auburn/3803-S-284th-Pl-98001/home/209456,https://ssl.cdn-redfin.com/photo/1/islphoto/250/genIslnoResize.2312250_0.jpg,Medium-low
1870.0,619000,331.01604278074865,98002,Auburn,WA,1102 22nd St NE,4.0,4.0,https://www.redfin.com/WA/Auburn/1102-22nd-St-NE-98002/home/218099,https://ssl.cdn-redfin.com/photo/1/islphoto/043/genIslnoResize.2312043_0.jpg,Medium-low
2430.0,739500,304.320987654321,98092,Auburn,WA,12684 SE 307th St,4.0,4.0,https://www.redfin.com/WA/Auburn/12684-SE-307th-St-98092/home/406740,https://ssl.cdn-redfin.com/photo/1/islphoto/887/genIslnoResize.2308887_0.jpg,Medium-low
1500.0,499900,333.26666666666665,98002,Auburn,WA,1004 1st St NE,3.0,3.0,https://www.redfin.com/WA/Auburn/1004-1st-St-NE-98002/home/218733,https://ssl.cdn-redfin.com/photo/1/islphoto/969/genIslnoResize.2299969_0.jpg,Medium-low
2880.0,725000,251.73611111111111,98001,Auburn,WA,5118 S 288th Pl,4.0,4.0,https://www.redfin.com/WA/Auburn/5118-S-288th-Pl-98001/home/209712,https://ssl.cdn-redfin.com/photo/1/islphoto/239/genIslnoResize.2310239_0.jpg,Medium-low
2511.0,789000,314.2174432497013,98092,Auburn,WA,5123 Nathan Loop Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/5123-Nathan-Loop-SE-98092/home/215742,https://ssl.cdn-redfin.com/photo/1/islphoto/187/genIslnoResize.2312187_0.jpg,Medium-High
1830.0,499950,273.1967213114754,98002,Auburn,WA,2835 Alpine St SE,4.0,4.0,https://www.redfin.com/WA/Auburn/2835-Alpine-St-SE-98002/home/215718,https://ssl.cdn-redfin.com/photo/1/islphoto/233/genIslnoResize.2308233_0.jpg,Medium-low
2636.0,600000,227.6176024279211,98002,Auburn,WA,1235 24th St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/1235-24th-St-SE-98002/home/214995,https://ssl.cdn-redfin.com/photo/1/islphoto/128/genIslnoResize.2312128_0.jpg,Medium-low
3050.0,1399000,458.6885245901639,98001,Auburn,WA,37242 42nd Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/37242-42nd-Ave-S-98001/home/364053,https://ssl.cdn-redfin.com/photo/1/islphoto/314/genIslnoResize.2312314_0.jpg,High
910.0,425000,467.032967032967,98002,Auburn,WA,124 15th St SE,2.0,2.0,https://www.redfin.com/WA/Auburn/124-15th-St-SE-98002/home/214537,https://ssl.cdn-redfin.com/photo/1/islphoto/779/genIslnoResize.2310779_0.jpg,Low
910.0,200000,219.78021978021977,98002,Auburn,WA,3428 I St NE Unit S302,1.0,1.0,https://www.redfin.com/WA/Auburn/3428-I-St-NE-98002/unit-S-302/home/191493373,https://ssl.cdn-redfin.com/photo/1/islphoto/635/genIslnoResize.2311635_0.jpg,Low
1030.0,489990,475.71844660194176,98002,Auburn,WA,1508 Pike Pl NE,3.0,3.0,https://www.redfin.com/WA/Auburn/1508-Pike-Pl-NE-98002/home/218380,https://ssl.cdn-redfin.com/photo/1/islphoto/510/genIslnoResize.2311510_0.jpg,Low
1530.0,449950,294.08496732026146,98092,Auburn,WA,31635 104th Ave SE,3.0,3.0,https://www.redfin.com/WA/Auburn/31635-104th-Ave-SE-98092/home/407923,https://ssl.cdn-redfin.com/photo/1/islphoto/742/genIslnoResize.2311742_0.jpg,Low
3200.0,998000,311.875,98092,Auburn,WA,34716 169th Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/34716-169th-Ave-SE-98092/home/379927,https://ssl.cdn-redfin.com/photo/1/islphoto/928/genIslnoResize.2308928_0.jpg,Medium-High
2060.0,659900,320.3398058252427,98001,Auburn,WA,34856 54th Ave S,3.0,3.0,https://www.redfin.com/WA/Auburn/34856-54th-Ave-S-98001/home/364840,https://ssl.cdn-redfin.com/photo/1/islphoto/843/genIslnoResize.2300843_0.jpg,Medium-low
