sqft,price,price/sqft,zip,city,state,street_address,bedrooms,bathrooms,url,img
1630.0,689000,422.6993865030675,98031,Kent,WA,12409 SE 210th Pl,3,3,https://www.redfin.com/WA/Kent/12409-SE-210th-Pl-98031/home/226697,https://ssl.cdn-redfin.com/system_files/media/1011787_JPG/genDesktopMapHomeCardUrl/item_15.jpg
1128.0,519950,460.9485815602837,98042,Kent,WA,26619 134th Ave SE,3,3,https://www.redfin.com/WA/Kent/26619-134th-Ave-SE-98042/home/400339,https://ssl.cdn-redfin.com/photo/1/islphoto/254/genIslnoResize.2310254_0.jpg
1960.0,639950,326.5051020408163,98198,Des Moines,WA,2136 S 263rd St,3,3,https://www.redfin.com/WA/Des-Moines/2136-S-263rd-St-98198/home/44657716,https://ssl.cdn-redfin.com/system_files/media/1013575_JPG/genDesktopMapHomeCardUrl/item_2.jpg
1490.0,648500,435.23489932885906,98042,Kent,WA,14254 SE 257th Pl,3,3,https://www.redfin.com/WA/Kent/14254-SE-257th-Pl-98042/home/399425,https://ssl.cdn-redfin.com/photo/1/islphoto/367/genIslnoResize.2310367_0.jpg
1660.0,665000,400.6024096385542,98001,Auburn,WA,3214 S 272nd Pl,3,3,https://www.redfin.com/WA/Auburn/3214-S-272nd-Pl-98001/home/208635,https://ssl.cdn-redfin.com/photo/1/islphoto/471/genIslnoResize.2306471_0.jpg
1850.0,695000,375.6756756756757,98031,Kent,WA,22247 126th Pl SE,4,4,https://www.redfin.com/WA/Kent/22247-126th-Pl-SE-98031/home/223784,https://ssl.cdn-redfin.com/photo/1/islphoto/450/genIslnoResize.2310450_0.jpg
1910.0,550000,287.9581151832461,98032,Kent,WA,4515 S 263rd St,3,3,https://www.redfin.com/WA/Kent/4515-S-263rd-St-98032/home/207519,https://ssl.cdn-redfin.com/photo/1/islphoto/043/genIslnoResize.2311043_0.jpg
2668.0,899000,336.95652173913044,98042,Kent,WA,17026 SE 289TH St,3,3,https://www.redfin.com/WA/Kent/17026-SE-289th-St-98042/home/12299211,https://ssl.cdn-redfin.com/photo/1/islphoto/226/genIslnoResize.2311226_0.jpg
1600.0,650000,406.25,98030,Kent,WA,1012 E Laurel St,3,3,https://www.redfin.com/WA/Kent/1012-E-Laurel-St-98030/home/396094,https://ssl.cdn-redfin.com/photo/1/islphoto/188/genIslnoResize.2311188_0.jpg
2482.0,1499000,603.9484286865431,98042,Kent,WA,31305 SE 202nd Ave,4,4,https://www.redfin.com/WA/Kent/31305-202nd-Ave-SE-98042/home/2088525,https://ssl.cdn-redfin.com/photo/1/islphoto/686/genIslnoResize.2310686_0.jpg
1645.0,550000,334.3465045592705,98055,Renton,WA,19167 110th Pl SE Unit 11D,3,3,https://www.redfin.com/WA/Renton/19167-110th-Pl-SE-98055/unit-11D/home/60297,https://ssl.cdn-redfin.com/photo/1/islphoto/062/genIslnoResize.2311062_0.jpg
1232.0,529900,430.1136363636364,98042,Kent,WA,14210 SE 259th Pl,2,2,https://www.redfin.com/WA/Kent/14210-SE-259th-Pl-98042/home/398444,https://ssl.cdn-redfin.com/photo/1/islphoto/724/genIslnoResize.2307724_0.jpg
2060.0,650000,315.5339805825243,98030,Kent,WA,9806 S 242nd Pl,4,4,https://www.redfin.com/WA/Kent/9806-S-242nd-Pl-98030/home/395889,https://ssl.cdn-redfin.com/photo/1/islphoto/784/genIslnoResize.2310784_0.jpg
3410.0,899999,263.9293255131965,98031,Kent,WA,23914 124th Ave SE,4,4,https://www.redfin.com/WA/Kent/23914-124th-Ave-SE-98031/home/223818,https://ssl.cdn-redfin.com/photo/1/islphoto/049/genIslnoResize.2310049_0.jpg
