Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image,Price/Sqft,Price Category
1140.0,473000,98001,Algona,WA,707 Celery Ave,3.0,3.0,https://www.redfin.com/WA/Algona/707-Celery-Ave-98001/home/365604,https://ssl.cdn-redfin.com/photo/1/islphoto/292/genIslnoResize.2292292_0.jpg,414.9122807017544,Low
1310.0,470000,98001,Algona,WA,512 Main St,4.0,4.0,https://www.redfin.com/WA/Algona/512-Main-St-98001/home/365469,https://ssl.cdn-redfin.com/photo/1/islphoto/215/genIslnoResize.2295215_0.jpg,358.77862595419845,Low
1680.0,500000,98001,Algona,WA,221 2nd Ave N,4.0,4.0,https://www.redfin.com/WA/Algona/221-2nd-Ave-N-98001/home/365584,https://ssl.cdn-redfin.com/photo/1/islphoto/161/genIslnoResize.2288161_0.jpg,297.6190476190476,Low
1240.0,525000,98001,Algona,WA,1036 Algona Blvd N,4.0,4.0,https://www.redfin.com/WA/Algona/1036-Algona-Blvd-N-98001/home/365174,https://ssl.cdn-redfin.com/photo/1/islphoto/651/genIslnoResize.2271651_0.jpg,423.38709677419354,Low
972.0,369000,98092,Auburn,WA,6331 Isaac Ave SE Unit D16,2.0,2.0,https://www.redfin.com/WA/Auburn/6331-Isaac-Ave-SE-98092/unit-D16/home/3038344,https://ssl.cdn-redfin.com/photo/1/islphoto/866/genIslnoResize.2311866_1.jpg,379.6296296296296,Low
1260.0,299990,98092,Auburn,WA,31511 106th Pl SE Unit T207,3.0,3.0,https://www.redfin.com/WA/Auburn/31511-106th-Pl-SE-98092/unit-T207/home/190486262,https://ssl.cdn-redfin.com/photo/1/islphoto/947/genIslnoResize.2311947_0.jpg,238.0873015873016,Low
1950.0,520000,98002,Auburn,WA,1307 F St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/1307-F-St-SE-98002/home/213892,https://ssl.cdn-redfin.com/system_files/media/1016734_JPG/genDesktopMapHomeCardUrl/item_26.jpg,266.6666666666667,Low
990.0,475000,98002,Auburn,WA,606 21st St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/606-21st-St-SE-98002/home/214100,https://ssl.cdn-redfin.com/photo/1/islphoto/942/genIslnoResize.2311942_0.jpg,479.7979797979798,Low
1344.0,149000,98002,Auburn,WA,3225 M St SE 121,3.0,3.0,https://www.redfin.com/WA/Auburn/3225-M-St-SE-98002/unit-121/home/193407092,https://ssl.cdn-redfin.com/photo/1/islphoto/461/genIslnoResize.2313461_0.jpg,110.86309523809524,Low
1006.0,389000,98092,Auburn,WA,1039 61st St SE 106,2.0,2.0,https://www.redfin.com/WA/Auburn/1039-61st-St-SE-98092/unit-106/home/3027182,https://ssl.cdn-redfin.com/photo/1/islphoto/261/genIslnoResize.2313261_0.jpg,386.67992047713716,Low
972.0,360000,98092,Auburn,WA,6432 Hazel Ln SE Unit C,2.0,2.0,https://www.redfin.com/WA/Auburn/6432-Hazel-Ln-SE-98092/unit-C/home/177012776,https://ssl.cdn-redfin.com/photo/1/islphoto/359/genIslnoResize.2313359_0.jpg,370.3703703703704,Low
1242.0,394999,98002,Auburn,WA,1811 F St SE 4,2.0,2.0,https://www.redfin.com/WA/Auburn/1811-F-St-SE-98002/unit-4/home/193701838,https://ssl.cdn-redfin.com/photo/1/islphoto/750/genIslnoResize.2311750_0.jpg,318.03462157809986,Low
1240.0,515000,98002,Auburn,WA,725 7th St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/725-7th-St-SE-98002/home/213990,https://ssl.cdn-redfin.com/photo/1/islphoto/934/genIslnoResize.2312934_0.jpg,415.3225806451613,Low
1848.0,129000,98002,Auburn,WA,3611 I St NE 160,3.0,3.0,https://www.redfin.com/WA/Auburn/3611-I-St-NE-98002/unit-160/home/193679855,https://ssl.cdn-redfin.com/photo/1/islphoto/752/genIslnoResize.2312752_0.jpg,69.8051948051948,Low
2580.0,745000,98001,Auburn,WA,37217 35th Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/37217-35th-Ave-S-98001/home/363347,https://ssl.cdn-redfin.com/photo/1/islphoto/788/genIslnoResize.2311788_0.jpg,288.7596899224806,Medium-low
1770.0,525950,98092,Auburn,WA,5909 Panorama Dr SE 16101,3.0,3.0,https://www.redfin.com/WA/Auburn/5909-Panorama-Dr-SE-98092/unit-16-101/home/23095081,https://ssl.cdn-redfin.com/photo/1/islphoto/743/genIslnoResize.2312743_0.jpg,297.14689265536725,Low
1500.0,689000,98001,Auburn,WA,3803 S 284th Pl,3.0,3.0,https://www.redfin.com/WA/Auburn/3803-S-284th-Pl-98001/home/209456,https://ssl.cdn-redfin.com/photo/1/islphoto/250/genIslnoResize.2312250_0.jpg,459.3333333333333,Medium-low
1870.0,619000,98002,Auburn,WA,1102 22nd St NE,4.0,4.0,https://www.redfin.com/WA/Auburn/1102-22nd-St-NE-98002/home/218099,https://ssl.cdn-redfin.com/photo/1/islphoto/043/genIslnoResize.2312043_0.jpg,331.01604278074865,Medium-low
1500.0,499900,98002,Auburn,WA,1004 1st St NE,3.0,3.0,https://www.redfin.com/WA/Auburn/1004-1st-St-NE-98002/home/218733,https://ssl.cdn-redfin.com/photo/1/islphoto/969/genIslnoResize.2299969_0.jpg,333.26666666666665,Low
2880.0,725000,98001,Auburn,WA,5118 S 288th Pl,4.0,4.0,https://www.redfin.com/WA/Auburn/5118-S-288th-Pl-98001/home/209712,https://ssl.cdn-redfin.com/photo/1/islphoto/239/genIslnoResize.2310239_0.jpg,251.73611111111111,Medium-low
2511.0,789000,98092,Auburn,WA,5123 Nathan Loop Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/5123-Nathan-Loop-SE-98092/home/215742,https://ssl.cdn-redfin.com/photo/1/islphoto/187/genIslnoResize.2312187_0.jpg,314.2174432497013,Medium-low
1830.0,499950,98002,Auburn,WA,2835 Alpine St SE,4.0,4.0,https://www.redfin.com/WA/Auburn/2835-Alpine-St-SE-98002/home/215718,https://ssl.cdn-redfin.com/photo/1/islphoto/233/genIslnoResize.2308233_0.jpg,273.1967213114754,Low
2636.0,600000,98002,Auburn,WA,1235 24th St SE,3.0,3.0,https://www.redfin.com/WA/Auburn/1235-24th-St-SE-98002/home/214995,https://ssl.cdn-redfin.com/photo/1/islphoto/128/genIslnoResize.2312128_0.jpg,227.6176024279211,Medium-low
3050.0,1349000,98001,Auburn,WA,37242 42nd Ave S,4.0,4.0,https://www.redfin.com/WA/Auburn/37242-42nd-Ave-S-98001/home/364053,https://ssl.cdn-redfin.com/photo/1/islphoto/314/genIslnoResize.2312314_0.jpg,442.2950819672131,High
904.0,425000,98002,Auburn,WA,124 15th St SE,2.0,2.0,https://www.redfin.com/WA/Auburn/124-15th-St-SE-98002/home/214537,https://ssl.cdn-redfin.com/photo/1/islphoto/779/genIslnoResize.2310779_0.jpg,470.13274336283183,Low
1030.0,489990,98002,Auburn,WA,1508 Pike Pl NE,3.0,3.0,https://www.redfin.com/WA/Auburn/1508-Pike-Pl-NE-98002/home/218380,https://ssl.cdn-redfin.com/photo/1/islphoto/510/genIslnoResize.2311510_0.jpg,475.71844660194176,Low
1530.0,449950,98092,Auburn,WA,31635 104th Ave SE,3.0,3.0,https://www.redfin.com/WA/Auburn/31635-104th-Ave-SE-98092/home/407923,https://ssl.cdn-redfin.com/photo/1/islphoto/742/genIslnoResize.2311742_0.jpg,294.08496732026146,Low
3200.0,998000,98092,Auburn,WA,34716 169th Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/34716-169th-Ave-SE-98092/home/379927,https://ssl.cdn-redfin.com/photo/1/islphoto/928/genIslnoResize.2308928_0.jpg,311.875,Medium-High
2060.0,659900,98001,Auburn,WA,34856 54th Ave S,3.0,3.0,https://www.redfin.com/WA/Auburn/34856-54th-Ave-S-98001/home/364840,https://ssl.cdn-redfin.com/photo/1/islphoto/843/genIslnoResize.2300843_0.jpg,320.3398058252427,Medium-low
2550.0,698880,98092,Auburn,WA,31505 114th Ave SE,4.0,4.0,https://www.redfin.com/WA/Auburn/31505-114th-Ave-SE-98092/home/406136,https://ssl.cdn-redfin.com/photo/1/islphoto/469/genIslnoResize.2311469_0.jpg,274.0705882352941,Medium-low
1660.0,665000,98001,Auburn,WA,3214 S 272nd Pl,3.0,3.0,https://www.redfin.com/WA/Auburn/3214-S-272nd-Pl-98001/home/208635,https://ssl.cdn-redfin.com/photo/1/islphoto/471/genIslnoResize.2306471_0.jpg,400.6024096385542,Medium-low
