Square Feet,Price,Zip,City,State,Street Address,Bedrooms,Bathrooms,URL,Image
1140,473000,98001,Algona,WA,707 Celery Ave,3,3,https://www.redfin.com/WA/Algona/707-Celery-Ave-98001/home/365604,https://ssl.cdn-redfin.com/photo/1/islphoto/292/genIslnoResize.2292292_0.jpg
1310,470000,98001,Algona,WA,512 Main St,4,4,https://www.redfin.com/WA/Algona/512-Main-St-98001/home/365469,https://ssl.cdn-redfin.com/photo/1/islphoto/215/genIslnoResize.2295215_0.jpg
1680,500000,98001,Algona,WA,221 2nd Ave N,4,4,https://www.redfin.com/WA/Algona/221-2nd-Ave-N-98001/home/365584,https://ssl.cdn-redfin.com/photo/1/islphoto/161/genIslnoResize.2288161_0.jpg
1240,525000,98001,Algona,WA,1036 Algona Blvd N,4,4,https://www.redfin.com/WA/Algona/1036-Algona-Blvd-N-98001/home/365174,https://ssl.cdn-redfin.com/photo/1/islphoto/651/genIslnoResize.2271651_0.jpg
,660000,98001,Algona,WA,515 4th Ave N,,,https://www.redfin.com/WA/Algona/515-4th-Ave-N-98001/home/2060937,https://ssl.cdn-redfin.com/photo/1/islphoto/209/genIslnoResize.2258209_0.jpg
,110000,98001,Algona,WA,318 3rd Ave N,,,https://www.redfin.com/WA/Algona/318-3rd-Ave-N-98001/home/190358038,https://ssl.cdn-redfin.com/photo/1/islphoto/475/genIslnoResize.2225475_0.jpg
972,369000,98092,Auburn,WA,6331 Isaac Ave SE Unit D16,2,2,https://www.redfin.com/WA/Auburn/6331-Isaac-Ave-SE-98092/unit-D16/home/3038344,https://ssl.cdn-redfin.com/photo/1/islphoto/866/genIslnoResize.2311866_1.jpg
1260,299990,98092,Auburn,WA,31511 106th Pl SE Unit T207,3,3,https://www.redfin.com/WA/Auburn/31511-106th-Pl-SE-98092/unit-T207/home/190486262,https://ssl.cdn-redfin.com/photo/1/islphoto/947/genIslnoResize.2311947_0.jpg
1950,520000,98002,Auburn,WA,1307 F St SE,3,3,https://www.redfin.com/WA/Auburn/1307-F-St-SE-98002/home/213892,https://ssl.cdn-redfin.com/system_files/media/1016734_JPG/genDesktopMapHomeCardUrl/item_26.jpg
990,475000,98002,Auburn,WA,606 21st St SE,3,3,https://www.redfin.com/WA/Auburn/606-21st-St-SE-98002/home/214100,https://ssl.cdn-redfin.com/photo/1/islphoto/942/genIslnoResize.2311942_0.jpg
